method,variant,seed,source,metric,value,notes
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.998729944229126,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.0006759966490790248,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,0.9967333674430847,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.0005361819639801979,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.462117075920105,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.462117075920105,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,alpha_value,0.09986142069101334,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,gate_mean,0.4990983009338379,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,gate_std,0.018303992226719856,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.4743276536464691,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.17522326111793518,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.17442390322685242,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.1760251671075821,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.6495509147644043,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.3504490852355957,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_beta,0.10000398755073547,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_reliability_mean,0.9499980211257935,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_reliability_std,4.068628101094873e-08,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_local_high_mean,0.0026183780282735825,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,1.0000985860824585,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.003991235513240099,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,1.0086780786514282,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.0015593755524605513,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.10017877072095871,diagnostics from first deterministic test batch
