method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,speckle_gate_std,0.0004130088782403618,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,suppression_ratio,0.9981759786605835,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,combined_gate_mean,0.9981759786605835,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,combined_gate_std,4.176028596702963e-05,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,local_high_descriptor_mean,0.2913609743118286,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,local_variance_proxy_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,multi_scale_consistency_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,alpha_value,0.4884394705295563,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,beta_value,0.10111159831285477,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,channel_gate_mean,0.3234899342060089,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,channel_gate_std,0.3316602110862732,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,freq_init,random,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,depthwise_weight_mean,0.0002886508300434798,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,0,FADCGV2dAblation,depthwise_weight_std,1.0045955181121826,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,speckle_gate_mean,0.017970938235521317,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,speckle_gate_std,0.00016411779506597668,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,suppression_ratio,0.9982125759124756,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,combined_gate_mean,0.9982125759124756,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,combined_gate_std,1.632285966479685e-05,module input diagnostics collected with forward pre-hooks
