method,variant,seed,source,metric,value,notes
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.4145887494087219,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,1.6347010135650635,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.6527613401412964,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,0.8922123908996582,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.2954665422439575,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,alpha_value,0.26747119426727295,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,gate_mean,0.49505746364593506,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,gate_std,0.47673532366752625,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.9757285118103027,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.008671198040246964,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.007811763323843479,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.007788516581058502,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.9843997359275818,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.015600279904901981,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_beta,0.086083322763443,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_reliability_mean,0.9584810137748718,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_reliability_std,0.0014616110129281878,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_local_high_mean,0.13550186157226562,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch,fadc_sr_branch,2026,hybrid_bottleneck_test_sample,sr_local_var_mean,nan,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,1.164850255008787e-05,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,5.648073783959262e-05,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,1.9999911785125732,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,3.3201242331415415e-05,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,0.9721487760543823,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.31802237033844,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.26296812295913696,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.5802747011184692,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,gate_std,0.24955780804157257,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,7.007573410433565e-10,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,4.3060019438989627e-10,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.09964646399021149,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.9003535509109497,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,small_dilation_weight,1.1313575631888284e-09,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,large_dilation_weight,1.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.10312823951244354,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,0.0738210678100586,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.20735052227973938,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.5104659795761108,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,1.9999998807907104,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,1.0174885574087966e-06,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,0.6559240818023682,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.316422700881958,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.2647567093372345,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.638691782951355,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_std,0.25504347681999207,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,1.138270011580289e-08,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,1.0002080053084228e-08,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,1.0,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,9.356756258682708e-09,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,small_dilation_weight,2.138478016888712e-08,diagnostics from first deterministic test batch
