method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,alpha_value,0.4880901873111725,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,gate_mean,0.34114623069763184,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,gate_std,0.3808569014072418,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.016605662181973457,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,0.9931730031967163,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,alpha_value,0.5038439631462097,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,gate_mean,0.4912298321723938,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,gate_std,0.32360711693763733,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,depthwise_weight_mean,-0.014651311561465263,VectorizedLightFADC diagnostics collected with forward pre-hooks
